meal_names,meal_ingredients,meal_tags,meal_urls,meal_cousine_names,meal_images
Пад-капао,"{'Филе куриного бедра': '500 г', 'Устричный соус': '2 столовые ложки', 'Соевый соус': '1 столовая ложка', 'Тростниковый сахар': '1 чайная ложка', 'Растительное масло': '60 мл', 'Чеснок': '2 зубчика', 'Тайский острый перец птичий глаз': '4 штуки', 'Куриное яйцо': '2 штуки', 'Базилик': '20 г'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/pad-kapao-125397,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120214125404/180820210734/p_O.jpg
Массаман-карри классический,"{'Курица': '1 штука', 'Картофель': '800 г', 'Кокосовое молоко': '800 мл', 'Тайский острый перец птичий глаз': '3 штуки', 'Растительное масло': '60 мл', 'Репчатый лук': '1 головка', 'Имбирь': '20 г', 'Чеснок': '2 зубчика', 'Куриный бульон': '250 мл', 'Лимонная трава': '3 штуки', 'Куркума': '2 чайные ложки', 'Кешью': '150 г', 'Молотый кориандр': '1 чайная ложка', 'Кумин (зира)': '2 чайные ложки', 'Молотый кардамон': '½ чайной ложки', 'Паста тамаринда': '1 столовая ложка', 'Лайм': '1 штука', 'Креветочная паста': '2 чайные ложки', 'Рыбный соус': '60 мл', 'Тростниковый сахар': '2 столовые ложки'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/massaman-karri-klassicheskiy-114780,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213175433/180413160657/p_O.jpg
Лаб,"{'Арахисовое масло': '40 мл', 'Куриный фарш': '500 г', 'Лимонная трава': '1 стебель', 'Зеленый перец чили': '1 штука', 'Лайм': '2 штуки', 'Рыбный соус': '1 столовая ложка', 'Сладкий соус чили': '1 столовая ложка', 'Красный лук': '1 головка', 'Кинза': '30 г', 'Свежая мята': '15 г', 'Жареный арахис': '40 г'}","['Пошаговые рецепты', 'Салаты', 'Тайская кухня']",https://eda.ru/recepty/salaty/lab-114841,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213175433/180412182451/p_O.jpg
Красный карри,"{'Филе куриного бедра': '700 г', 'Растительное масло': '70 мл', 'Чеснок': '3 зубчика', 'Лук-шалот': '3 головки', 'Лимонная трава': '2 стебля', 'Красная паста карри': '4 столовые ложки', 'Листья кафрского лайма': '3 штуки', 'Галангал': '20 г', 'Кокосовое молоко': '400 мл', 'Тайские баклажаны': '200 г', 'Коричневый сахар': '1 столовая ложка', 'Рыбный соус': '50 мл'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/krasnyy-karri-114851,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120213182322/180619233510/p_O.jpg
Зеленый карри,"{'Оливковое масло': '50 мл', 'Курица': '1 кг', 'Зеленая паста карри': '70 г', 'Пальмовый сахар': '250 г', 'Кокосовое молоко': '3 банки', 'Рыбный соус': '2 столовые ложки', 'Тайские баклажаны': '5 штук', 'Крачай': '4 штуки'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/zelenij-karri-23816,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131082312/150428164513/p_O.jpg
Классический пад-тай,"{'Рисовая лапша': '300 г', 'Растительное масло': '2 столовые ложки', 'Куриная грудка': '300 г', 'Тофу': '100 г', 'Чеснок': '2 зубчика', 'Сушеные креветки': '2 столовые ложки', 'Рыбный соус': '125 мл', 'Кондитерский сахар': '40 г', 'Сок тамаринда': '75 мл', 'Куриное яйцо': '3 штуки', 'Жареный арахис': '60 г', 'Зеленый рубленый лук': '3 столовые ложки', 'Ростки сои': '100 г', 'Лайм': '1 штука'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/pad-taj-50330,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131084308/170929144708/p_O.jpg
Спринг-роллы по‑тайски,"{'Белокочанная капуста': '100 г', 'Морковь': '1 штука', 'Бобовые проростки': '100 г', 'Рисовая лапша': '50 г', 'Чеснок': '2 зубчика', 'Соевый соус': '2 столовые ложки', 'Рисовая бумага': '8 штук', 'Растительное масло': '3 столовые ложки'}","['Пошаговые рецепты', 'Закуски', 'Тайская кухня']",https://eda.ru/recepty/zakuski/spring-rolli-po-tajski-31259,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/161109145007/161125164131/p_O.jpg
Тайский манговый блин,"{'Манго': '75 г', 'Манговое пюре': '45 г', 'Кокосовое молоко': '50 мл', 'Сгущенное молоко': '60 г', 'Сливочное масло': '20 г', 'Куриное яйцо': '1 штука', 'Пшеничная мука': '150 г', 'Оливковое масло': '30 мл', 'Вода': '50 мл'}","['Пошаговые рецепты', 'Выпечка и десерты', 'Тайская кухня']",https://eda.ru/recepty/vypechka-deserty/tajskij-mangovij-blin-39041,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/130116161736/130810151331/p_O.jpg
Том-ям,"{'Галангал': '20 г', 'Имбирь': '20 г', 'Лемонграсс': '20 г', 'Чеснок': '20 г', 'Листья лайма': '6 штук', 'Кокосовое молоко': '200 мл', 'Паста том ям': '100 г', 'Вода': '800 мл', 'Паста тамаринда': '20 г', 'Пальмовый сахар': '20 г', 'Рыбный соус': '10 мл', 'Морепродукты': '400 г', 'Вешенки': '100 г', 'Помидоры': '1 штука', 'Тайский острый перец птичий глаз': '1 штука', 'Лимонный сок': 'по вкусу', 'Рис': 'по вкусу'}","['Пошаговые рецепты', 'Супы', 'Тайская кухня']",https://eda.ru/recepty/supy/tom-yam-140516,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170227235357/210205133719/p_O.jpg
Суп том-кха,"{'Курица': '1 штука', 'Репчатый лук': '1 головка', 'Морковь': '1 штука', 'Креветки': '500 г', 'Кинза': '1 пучок', 'Галангал': '3 штуки', 'Лимонная трава': '6 стеблей', 'Перечная паста том-ям': '2 столовые ложки', 'Пальмовый сахар': '60 г', 'Паста тамаринда': '1 чайная ложка', 'Рыбный соус': '40 мл', 'Листья кафрского лайма': '4 штуки', 'Кокосовое молоко': '1 л', 'Лайм': '2 штуки'}","['Супы', 'Тайская кухня']",https://eda.ru/recepty/supy/sup-tom-kha-23814,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/150601195902/150609163118/p_O.jpg
Холодный салат с говядиной,"{'Оливковое масло': '100 мл', 'Рыбный соус': '250 мл', 'Говяжья вырезка': '1 кг', 'Рисовый уксус': '6 столовых ложек', 'Огурцы': '500 г', 'Кунжутное масло': '2 столовые ложки', 'Соевый соус': '1 столовая ложка', 'Пальмовый сахар': '200 г', 'Кинза': '3 пучка', 'Красный лук': '3 головки', 'Лимонная трава': '2 стебля', 'Кешью': '200 г'}","['Салаты', 'Тайская кухня']",https://eda.ru/recepty/salaty/holodnij-salat-s-govjadinoj-23812,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/150601195902/150609162958/p_O.jpg
Теплый салат с пореем и морепродуктами,"{'Лук-порей': '3 стебля', 'Осьминог': '500 г', 'Каракатица': '300 г', 'Соевый соус': '5 столовых ложек', 'Креветки': '300 г', 'Зеленый лук': '1 пучок', 'Рыбный соус': '12 столовых ложек', 'Острый тайский соус': '5 столовых ложек', 'Кешью': '100 г', 'Перец чили': '1 штука', 'Оливки без косточек': '70 г', 'Кинза': '1 пучок', 'Оливковое масло': '50 мл', 'Сливочное масло': '50 г', 'Вареные осьминоги и каракатицы в оливковом масле': '1 банка'}","['Салаты', 'Тайская кухня']",https://eda.ru/recepty/salaty/teplij-salat-s-poreem-moreproduktami-23813,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/131014225425/131025171134/p_O.jpg
Массаман-карри,"{'Анис (бадьян)': '12 штук', 'Говяжья грудинка': '2 кг', 'Репчатый лук': '3 головки', 'Морковь': '2 штуки', 'Розмарин': '5 г', 'Сельдерей': '4 стебля', 'Паста массаман-карри': '140 г', 'Рыбный соус': '50 мл', 'Кокосовое молоко': '4 банки', 'Тайские баклажаны': '5 штук', 'Пальмовый сахар': '50 г', 'Сок тамаринда': '80 мл', 'Корица': '10 штук', 'Молотая корица': '1 чайная ложка', 'Молотая гвоздика': '¼ чайной ложки', 'Молотый душистый перец': '3 столовые ложки'}","['Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/massaman-karri-23815,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/150601195902/150609163232/p_O.jpg
Салат из кольраби и яблока с горчичной заправкой,"{'Кольраби': '450 г', 'Яблоки «гренни-смит»': '1 штука', 'Зернистая горчица': '1 столовая ложка', 'Сливки 35%-ные': '½ стакана', 'Лимонный сок': '2 столовые ложки', 'Петрушка': '1 пучок', 'Сахар': '½ чайной ложки', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Салаты', 'Тайская кухня', 'Вегетарианская еда']",https://eda.ru/recepty/salaty/salat-iz-kolrabi-i-jabloka-s-gorchichnoj-zapravkoj-39890,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/160729115308/160805234440/p_O.jpg
Салат с креветками и помело,"{'Креветки': '10 штук', 'Помело': '1 штука', 'Шпинат мини': '20 г', 'Кинза': '10 г', 'Кокосовая стружка': '10 г', 'Жареный арахис': '10 г', 'Рыбный соус': '30 мл', 'Лайм': '2 штуки', 'Кокосовое молоко': '30 мл', 'Лемонграсс': '10 г', 'Листья лайма': '3 г', 'Пальмовый сахар': '30 г', 'Сушеные креветки': '5 г', 'Красный перец чили': '5 г'}","['Салаты', 'Тайская кухня']",https://eda.ru/recepty/salaty/salat-s-krevetkami-i-pomelo-140515,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/170227235357/210204215217/p_O.jpg
Салат с курицей и хрустящей лапшой,"{'Гречневая лапша': '80 г', 'Кипяток': '1 стакан', 'Масло для фритюра': '2 л', 'Куриная грудка': '350 г', 'Сливочное масло': '30 г', 'Мед': '100 г', 'Растительное масло': '120 мл', 'Рисовый уксус': '80 мл', 'Соевый соус': '40 мл', 'Кунжутное масло': '40 мл', 'Чеснок': '6 г', 'Имбирь': '30 г', 'Краснокочанная капуста': '160 г', 'Салат романо': '100 г', 'Морковь': '60 г', 'Бобы эдамамэ': '100 г', 'Миндальные лепестки': '10 г', 'Молотый черный перец': 'по вкусу', 'Соль': 'по вкусу'}","['Салаты', 'Тайская кухня']",https://eda.ru/recepty/salaty/salat-s-kuricey-i-hrustyaschey-lapshoy-93883,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131083853/170831161859/p_O.jpg
"Гречневая лапша с креветками, брокколи и…","{'Гречневая лапша': '75 г', 'Капуста брокколи': '100 г', 'Помидоры черри': '4 штуки', 'Соевый соус': '3 столовые ложки', 'Бальзамический уксус': '1 столовая ложка', 'Оливковое масло': '2 столовые ложки', 'Соль': 'по вкусу', 'Молотый перец чили': 'по вкусу', 'Очищенные креветки': '150 г'}","['Основные блюда', 'Тайская кухня', 'Низкокалорийная еда']",https://eda.ru/recepty/osnovnye-blyuda/grechnevaja-lapsha-s-krevetkami-brokkoli-pomidorami-cherri-27503,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120214140149/120214140702/p_O.jpg
Шоколадные маффины с шоколадом и орешками,"{'Куриное яйцо': '3 штуки', 'Пшеничная мука': '200 г', 'Сахар': '100 г', 'Сливочное масло': '100 г', 'Разрыхлитель': '2 чайные ложки', 'Какао': '4 чайные ложки', 'Шоколад': 'по вкусу'}","['Выпечка и десерты', 'Тайская кухня']",https://eda.ru/recepty/vypechka-deserty/shokoladnie-maffini-s-shokoladom-i-oreshkami-36198,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/151204100824/151211165833/p_O.jpg
Шакшука с пряностями,"{'Репчатый лук': '1 головка', 'Желтый сладкий перец': '½ штуки', 'Перец чили': '1 штука', 'Зеленый сладкий перец': '½ штуки', 'Чеснок': '2 зубчика', 'Помидоры в собственном соку': '300 г', 'Кумин (зира)': '½ чайной ложки', 'Куркума': '½ чайной ложки', 'Оливковое масло': '3 столовые ложки', 'Куриное яйцо': '2 штуки', 'Соль': 'по вкусу', 'Зелень': 'по вкусу'}","['Пошаговые рецепты', 'Завтраки', 'Еврейская кухня', 'Вегетарианская еда']",https://eda.ru/recepty/zavtraki/shakshuka-21036,Еврейская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/121124234750/151128130750/p_O.jpg
Фалафель с кунжутом,"{'Нут': '250 г', 'Репчатый лук': '1 головка', 'Чеснок': '4 зубчика', 'Лимонный сок': '4 столовые ложки', 'Рубленая петрушка': '1 столовая ложка', 'Рубленная кинза (кориандр)': '2 столовые ложки', 'Красный перец чили': '5 г', 'Молотый кумин (зира)': '2 чайные ложки', 'Молотый кориандр': '1 чайная ложка', 'Рисовая мука': '2 столовые ложки', 'Растительное масло': '2 столовые ложки', 'Сода': '½ чайной ложки', 'Кунжут': '2 столовые ложки', 'Натуральный йогурт': '20 мл', 'Тахини': '70 г', 'Зелень': 'по вкусу', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Еврейская кухня', 'Вегетарианская еда']",https://eda.ru/recepty/zakuski/falafel-40736,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/150615095301/150617140101/p_O.jpg
Бабагануш с кунжутом,"{'Баклажаны': '4 штуки', 'Чеснок': '3 зубчика', 'Кунжутные семечки': '50 г', 'Лимон': '1 штука', 'Оливковое масло': '50 мл', 'Петрушка': '10 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Еврейская кухня', 'Веганская еда']",https://eda.ru/recepty/zakuski/babaganush-s-kunzhutom-32522,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/130813174717/131120150727/p_O.jpg
Форшмак,"{'Филе сельди': '500 г', 'Куриное яйцо': '3 штуки', 'Белый хлеб': '3 куска', 'Зеленые яблоки': '1,5 штуки', 'Репчатый лук': '½ головки', 'Петрушка': 'по вкусу', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Еврейская кухня']",https://eda.ru/recepty/zakuski/forshmak-52492,Еврейская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/150910133406/150910133406/p_O.jpg
Израильская шакшука,"{'Репчатый лук': '1 головка', 'Чеснок': '4 зубчика', 'Перец чили': '1 штука', 'Оливковое масло': '50 мл', 'Орегано': 'щепотка', 'Кумин (зира)': 'щепотка', 'Измельченные помидоры в собственном соку': '400 г', 'Томатный сок': '100 мл', 'Куриное яйцо': '8 штук', 'Кинза': '10 г', 'Петрушка': '10 г', 'Сыр фета': '50 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Завтраки', 'Еврейская кухня']",https://eda.ru/recepty/zavtraki/izrailskaya-shakshuka-69608,Еврейская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/160608133558/160615132227/p_O.jpg
Шакшука,"{'Куриное яйцо': '6 штук', 'Репчатый лук': '1 головка', 'Чеснок': '3 зубчика', 'Красный сладкий перец': '1 штука', 'Помидоры': '500 г', 'Молотый кумин (зира)': '1 чайная ложка', 'Сладкая паприка': '1 чайная ложка', 'Сыр фета': '150 г', 'Оливковое масло': '50 мл', 'Петрушка': '10 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Перец чили': '1 штука'}","['Пошаговые рецепты', 'Завтраки', 'Еврейская кухня']",https://eda.ru/recepty/zavtraki/shakshuka-125396,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120214125404/180820204103/p_O.jpg
Медовый цимес,"{'Морковь': '1 кг', 'Лук-порей': '1 стебель', 'Кислые яблоки': '5 штук', 'Темный изюм': 'по вкусу', 'Курага': '10 штук', 'Грецкие орехи': '65 г', 'Лимон': '1 штука', 'Коричневый сахар': '2 столовые ложки', 'Мед': '10 столовых ложек', 'Оливковое масло extra virgin': '2 столовые ложки', 'Сливочное масло': '3 столовые ложки', 'Чабрец': 'по вкусу', 'Тмин': 'по вкусу', 'Корица': 'по вкусу', 'Мускатный орех': 'по вкусу', 'Имбирь': 'по вкусу', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Выпечка и десерты', 'Еврейская кухня']",https://eda.ru/recepty/vypechka-deserty/medovij-cimes-31626,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/130713154821/140204191335/p_O.jpg
Хала,"{'Сухие дрожжи': '6 г', 'Пшеничная мука небеленая': '475 г', 'Вода': '60 мл', 'Куриное яйцо': '4 штуки', 'Растительное масло': '55 мл', 'Соль': '1,5 чайные ложки', 'Цветочный мед': '85 г'}","['Пошаговые рецепты', 'Выпечка и десерты', 'Еврейская кухня']",https://eda.ru/recepty/vypechka-deserty/hala-53753,Еврейская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/120131084941/171020222913/p_O.jpg
Красная шакшука,"{'Куриное яйцо': '5 штук', 'Сладкий перец': '3 штуки', 'Помидоры': '3 штуки', 'Перец чили': '1 штука', 'Красный лук': '1 головка', 'Чеснок': '1 головка', 'Томатный соус пассата': '500 г', 'Сыр брынза': '150 г', 'Кинза': '30 г', 'Растительное масло': '50 мл', 'Кумин (зира)': 'по вкусу', 'Сахар': 'по вкусу', 'Сладкая паприка': 'по вкусу', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Завтраки', 'Еврейская кухня']",https://eda.ru/recepty/zavtraki/krasnaya-shakshuka-125527,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213184952/180713164527/p_O.jpg
Блинчики из кольраби,"{'Кольраби': '450 г', 'Репчатый лук': '1 головка', 'Зеленый перец чили': '1 штука', 'Куриное яйцо': '1 штука', 'Пшеничная мука': '50 г', 'Молотый кориандр': '½ чайной ложки', 'Сливочное масло': '15 г', 'Оливковое масло': '35 мл', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Закуски', 'Еврейская кухня']",https://eda.ru/recepty/zakuski/blinchiki-iz-kolrabi-39895,Еврейская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170228105509/191206121959/p_O.jpg
Зеленая шакшука,"{'Куриное яйцо': '4 штуки', 'Щавель': '100 г', 'Кинза': '30 г', 'Укроп': '30 г', 'Сыр брынза': '100 г', 'Зеленый перец чили': '1 штука', 'Чеснок': '1 зубчик', 'Растительное масло': '1 столовая ложка', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Завтраки', 'Еврейская кухня']",https://eda.ru/recepty/zavtraki/zelenaya-shakshuka-125528,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213184952/180713165339/p_O.jpg
Жареная хамса,"{'Хамса': '1 кг', 'Пшеничная мука': '200 г', 'Соль': 'по вкусу', 'Молотый черный перец': 'по вкусу', 'Растительное масло': '2 л', 'Лимон': '1 штука'}","['Пошаговые рецепты', 'Закуски', 'Еврейская кухня']",https://eda.ru/recepty/zakuski/zharenaya-hamsa-69615,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/160608133558/160616150146/p_O.png
Форшмак с мацой,"{'Филе сельди': '500 г', 'Куриное яйцо': '3 штуки', 'Белый хлеб': '3 куска', 'Зеленые яблоки': '2 штуки', 'Уксус': '1 чайная ложка', 'Репчатый лук': '½ головки', 'Петрушка': 'по вкусу', 'Маца': '3 штуки'}","['Пошаговые рецепты', 'Закуски', 'Еврейская кухня']",https://eda.ru/recepty/zakuski/forshmak-s-macoj-26308,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/150601195902/150610132155/p_O.jpg
Маринованная хамса,"{'Хамса': '1,799 кг', 'Чеснок': '80 г', 'Красный лук': '200 г', 'Рафинированное оливковое масло': '150 мл', 'Белый винный уксус': '200 мл', 'Вода': '200 мл', 'Черный перец горошком': '5 г', 'Черный душистый перец': '5 г', 'Семена кориандра': '5 г', 'Лавровый лист': 'по вкусу', 'Укроп': 'по вкусу', 'Соль': '5 г'}","['Пошаговые рецепты', 'Закуски', 'Еврейская кухня']",https://eda.ru/recepty/zakuski/marinovannaya-hamsa-69770,Еврейская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/160620142952/160629180659/p_O.jpg
